iter	RMSE
0	11810.9097
1	11495.62483
2	11172.98234
3	10867.88178
4	10592.85172
5	10338.16803
6	10078.3766
7	9830.044409
8	9570.855581
9	9324.832274
10	9097.836312
11	8891.942928
12	8676.321922
13	8475.96868
14	8306.155337
15	8115.642049
16	7930.28275
17	7766.53288
18	7610.629566
19	7448.463861
20	7317.303475
21	7173.304506
22	7044.333582
23	6911.961177
24	6793.121515
25	6680.09526
26	6567.783423
27	6462.073994
28	6353.118433
29	6252.248514
30	6157.069076
31	6073.219712
32	5989.872633
33	5905.664248
34	5833.325276
35	5774.510173
36	5701.44568
37	5631.301505
38	5572.972596
39	5515.198653
40	5463.703824
41	5409.011974
42	5353.518019
43	5306.129702
44	5260.68422
45	5217.20632
46	5178.933893
47	5141.201969
48	5105.219072
49	5065.814048
50	5032.486633
51	5002.727896
52	4976.083764
53	4944.650398
54	4913.209903
55	4885.075583
56	4858.113906
57	4837.340414
58	4813.368552
59	4794.192143
60	4772.895885
61	4755.074443
62	4737.132113
63	4714.1636
64	4697.490542
65	4683.546798
66	4664.6412
67	4650.728204
68	4631.477888
69	4618.682249
70	4601.500166
71	4585.115055
72	4571.795715
73	4557.14049
74	4543.642555
75	4530.922309
76	4526.6708
77	4520.385419
78	4510.514632
79	4498.680111
80	4490.31958
81	4480.199
82	4466.897285
83	4459.787381
84	4451.199261
85	4443.136113
86	4436.233294
87	4430.299419
88	4421.947551
89	4412.05471
90	4400.176794
91	4390.105137
92	4384.703175
93	4379.523491
94	4369.470856
95	4363.547183
96	4357.879869
97	4349.09718
98	4341.788688
99	4334.052033
100	4328.655253
101	4324.05928
102	4318.377279
103	4309.951022
104	4299.980841
105	4294.067883
106	4288.959222
107	4279.275956
108	4273.048589
109	4266.499255
110	4261.80555
111	4252.74044
112	4246.199089
113	4239.753123
114	4235.596556
115	4226.643151
116	4222.011779
117	4218.666301
118	4216.60121
119	4209.788235
120	4204.939258
121	4201.883653
122	4196.421364
123	4192.910111
124	4187.067058
125	4182.334191
126	4172.554244
127	4167.796477
128	4158.645061
129	4154.878889
130	4149.327544
131	4145.036279
132	4135.749509
133	4131.222095
134	4126.326265
135	4120.481881
136	4117.757762
137	4115.690555
138	4108.637601
139	4105.377676
140	4098.935915
141	4095.345394
142	4088.775474
143	4083.960606
144	4080.285515
145	4071.998402
146	4068.140955
147	4061.280789
148	4055.289487
149	4048.571757
150	4043.583564
151	4038.881785
152	4033.998693
153	4029.892021
154	4024.108467
155	4015.564511
156	4013.625322
157	4009.322176
158	4006.146529
159	4000.727804
160	3999.015948
161	3990.298106
162	3987.010269
163	3982.114379
164	3974.698316
165	3969.484004
166	3964.305926
167	3959.585567
168	3952.955585
169	3946.349885
170	3938.465497
171	3935.658496
172	3930.162148
173	3925.81932
174	3921.953502
175	3916.987382
176	3912.159005
177	3908.600823
178	3904.745266
179	3901.945297
180	3896.655888
181	3891.133645
182	3886.084692
183	3878.891254
184	3874.898303
185	3870.602402
186	3867.170514
187	3863.585558
188	3859.232298
189	3855.968979
190	3850.921846
191	3846.884681
192	3843.030607
193	3838.203612
194	3829.504415
195	3824.736987
196	3817.334396
197	3816.26673
198	3812.054749
199	3805.900173
200	3801.654974
201	3796.302836
202	3792.879514
203	3788.224749
204	3784.389435
205	3780.62685
206	3776.294448
207	3773.828676
208	3768.979295
209	3763.784741
210	3758.465508
211	3753.794406
212	3750.467051
213	3746.586482
214	3742.175679
215	3736.732064
216	3733.044724
217	3728.672519
218	3725.380558
219	3720.879009
220	3716.89797
221	3713.177655
222	3710.674804
223	3703.651072
224	3698.569733
225	3694.200379
226	3690.10861
227	3688.631817
228	3682.526856
229	3679.682177
230	3676.224634
231	3672.531662
232	3667.151922
233	3663.883591
234	3660.341816
235	3659.385459
236	3653.046901
237	3649.57825
238	3645.146666
239	3640.468173
240	3636.152628
241	3632.80082
242	3629.632776
243	3626.708688
244	3622.815755
245	3619.166664
246	3615.090737
247	3613.824043
248	3610.183794
249	3605.658221
250	3600.665283
251	3597.589258
252	3595.115935
253	3589.741772
254	3585.242892
255	3582.875856
256	3582.41385
257	3577.641043
258	3574.710429
259	3573.926565
260	3570.59574
261	3567.498421
262	3564.243517
263	3561.52723
264	3556.70923
265	3550.34981
266	3545.085037
267	3541.228913
268	3537.613957
269	3534.006323
270	3531.282916
271	3525.331378
272	3522.396226
273	3517.778241
274	3514.988037
275	3509.943214
276	3507.113388
277	3503.336769
278	3498.157971
279	3494.299023
280	3491.558126
281	3491.064871
282	3488.401343
283	3485.483515
284	3482.046756
285	3476.075546
286	3470.341067
287	3467.093197
288	3464.866621
289	3462.262538
290	3458.108202
291	3455.467603
292	3453.731942
293	3448.135436
294	3446.290168
295	3442.459283
296	3440.072224
297	3438.460396
298	3433.276582
299	3430.910946
300	3429.653183
301	3426.917264
302	3423.031679
303	3417.431578
304	3415.155032
305	3413.45808
306	3410.80957
307	3405.620963
308	3402.06668
309	3399.391311
310	3397.320817
311	3391.606809
312	3388.620745
313	3382.8863
314	3380.745378
315	3377.981579
316	3372.221022
317	3369.818029
318	3365.648956
319	3361.704358
320	3360.745669
321	3359.811139
322	3358.078281
323	3355.722098
324	3352.259992
325	3350.344529
326	3346.138297
327	3341.14105
328	3337.173031
329	3331.738206
330	3331.032912
331	3329.950216
332	3328.31601
333	3324.812367
334	3323.461083
335	3320.182283
336	3315.847276
337	3312.419453
338	3309.332699
339	3306.771641
340	3306.395311
341	3302.671364
342	3299.200902
343	3297.415198
344	3295.737701
345	3294.112373
346	3292.158269
347	3288.739409
348	3282.20948
349	3276.467168
350	3274.046886
351	3268.91119
352	3265.321373
353	3262.496065
354	3259.871848
355	3259.06225
356	3256.182224
357	3253.078917
358	3252.541724
359	3250.459784
360	3247.079834
361	3245.111704
362	3242.20132
363	3238.452448
364	3233.655397
365	3230.540641
366	3227.073129
367	3226.410195
368	3226.144806
369	3220.889722
370	3219.124009
371	3213.711915
372	3210.268251
373	3206.549594
374	3202.446296
375	3198.862546
376	3196.443387
377	3194.273348
378	3191.380728
379	3190.185329
380	3184.645062
381	3184.277105
382	3183.133767
383	3179.205349
384	3175.465718
385	3172.049594
386	3170.599554
387	3166.428041
388	3163.534127
389	3161.2346
390	3159.33112
391	3158.468482
392	3156.574914
393	3154.791195
394	3153.627864
395	3151.780777
396	3148.293114
397	3145.703189
398	3142.609704
399	3140.591505
400	3140.317075
401	3137.139072
402	3133.820249
403	3130.534569
404	3129.638086
405	3128.004667
406	3127.116359
407	3126.079331
408	3122.109621
409	3118.759009
410	3116.646955
411	3111.522563
412	3108.265907
413	3105.801359
414	3104.755013
415	3104.069539
416	3099.457092
417	3096.18929
418	3092.809888
419	3090.57408
420	3089.178671
421	3087.507633
422	3083.762695
423	3078.939729
424	3076.771132
425	3071.285411
426	3067.297149
427	3064.324069
428	3060.013827
429	3057.698792
430	3053.327238
431	3049.340672
432	3048.033052
433	3043.153495
434	3040.810945
435	3040.166493
436	3039.520467
437	3038.59906
438	3034.470872
439	3031.461953
440	3029.063749
441	3028.427319
442	3028.111943
443	3025.128423
444	3021.090085
445	3018.772383
446	3015.314059
447	3011.901899
448	3010.380981
449	3008.901821
450	3006.62088
451	3003.792065
452	3000.032459
453	2998.5333
454	2994.030423
455	2992.571414
456	2987.956566
457	2987.029069
458	2985.974918
459	2982.241597
460	2977.565088
461	2976.904512
462	2972.439444
463	2970.006351
464	2965.541577
465	2963.879566
466	2963.594964
467	2959.640777
468	2956.498029
469	2955.475209
470	2952.04688
471	2951.014365
472	2948.401082
473	2947.186284
474	2944.41623
475	2942.996043
476	2940.372134
477	2938.203862
478	2935.882356
479	2933.775674
480	2932.793119
481	2930.917979
482	2929.323306
483	2926.993538
484	2925.152328
485	2922.368831
486	2920.357065
487	2917.963315
488	2914.899358
489	2914.034926
490	2912.621553
491	2910.856585
492	2908.41331
493	2905.992338
494	2902.934396
495	2899.711254
496	2897.809158
497	2894.297906
498	2892.442807
499	2889.226988
500	2887.39522
501	2885.18597
502	2883.670474
503	2883.403589
504	2880.678941
505	2879.865159
506	2875.231853
507	2873.133273
508	2871.100982
509	2869.308411
510	2866.820342
511	2865.165588
512	2863.472259
513	2861.918153
514	2860.429074
515	2858.730261
516	2857.629707
517	2854.031473
518	2850.758728
519	2848.911914
520	2847.211516
521	2843.703407
522	2840.565051
523	2840.289289
524	2837.282033
525	2835.021553
526	2832.370325
527	2829.710554
528	2828.309402
529	2827.940361
530	2825.24342
531	2823.81605
532	2823.415808
533	2819.578849
534	2818.038588
535	2815.077707
536	2813.590593
537	2808.343116
538	2807.044548
539	2801.987372
540	2800.129001
541	2795.238386
542	2792.670165
543	2792.315663
544	2788.566934
545	2787.305297
546	2783.378832
547	2782.47804
548	2777.904781
549	2775.558816
550	2772.745604
551	2769.479925
552	2766.692706
553	2764.928688
554	2760.417002
555	2756.152919
556	2753.97581
557	2750.349982
558	2748.64137
559	2745.411309
560	2743.438327
561	2741.035357
562	2739.940959
563	2735.399029
564	2732.84311
565	2732.324751
566	2729.421206
567	2728.077576
568	2725.308011
569	2724.181267
570	2722.051148
571	2720.578471
572	2719.188355
573	2717.330219
574	2715.840628
575	2713.726588
576	2712.227887
577	2710.103033
578	2709.042414
579	2707.290811
580	2703.407717
581	2701.832955
582	2699.49803
583	2695.893394
584	2693.965598
585	2693.290153
586	2691.780931
587	2688.418538
588	2686.918368
589	2685.880151
590	2684.968596
591	2680.580169
592	2679.369454
593	2677.993409
594	2676.567128
595	2674.088873
596	2672.453468
597	2670.001469
598	2667.885122
599	2666.498034
600	2662.725857
601	2662.348579
602	2659.540062
603	2656.324305
604	2654.42043
605	2653.212077
606	2651.004354
607	2649.472892
608	2647.135295
609	2644.671522
610	2642.377504
611	2641.750434
612	2640.631246
613	2636.407284
614	2635.869677
615	2633.648598
616	2631.979195
617	2630.725385
618	2628.372475
619	2626.214531
620	2625.510577
621	2623.246063
622	2622.626862
623	2622.027302
624	2620.43151
625	2616.357829
626	2614.860342
627	2613.877183
628	2613.182098
629	2611.476379
