iter	Passed	Remaining
0	45	45783
1	98	49198
2	117	38976
3	159	39836
4	209	41725
5	251	41623
6	298	42307
7	368	45645
8	417	45969
9	451	44709
10	503	45234
11	546	45002
12	597	45386
13	641	45182
14	675	44370
15	714	43938
16	759	43934
17	799	43626
18	848	43832
19	880	43162
20	945	44091
21	980	43587
22	1005	42718
23	1067	43417
24	1103	43027
25	1150	43091
26	1202	43331
27	1241	43112
28	1325	44373
29	1378	44562
30	1436	44892
31	1476	44655
32	1562	45777
33	1613	45829
34	1683	46427
35	1728	46274
36	1835	47775
37	1919	48587
38	1980	48813
39	2050	49202
40	2062	48238
41	2120	48365
42	2169	48291
43	2207	47966
44	2276	48317
45	2311	47928
46	2327	47193
47	2409	47781
48	2487	48284
49	2529	48069
50	2601	48411
51	2645	48235
52	2678	47862
53	2692	47171
54	2795	48029
55	2895	48807
56	2989	49456
57	3015	48981
58	3119	49757
59	3207	50256
60	3264	50250
61	3284	49684
62	3382	50302
63	3411	49886
64	3438	49467
65	3451	48839
66	3464	48238
67	3502	48002
68	3520	47496
69	3554	47221
70	3605	47175
71	3622	46689
72	3699	46980
73	3716	46506
74	3754	46307
75	3786	46038
76	3790	45432
77	3845	45458
78	3896	45430
79	3926	45158
80	4016	45565
81	4032	45146
82	4048	44725
83	4108	44805
84	4125	44413
85	4174	44367
86	4262	44732
87	4338	44964
88	4388	44917
89	4430	44792
90	4443	44381
91	4492	44335
92	4529	44176
93	4551	43873
94	4597	43793
95	4621	43522
96	4665	43434
97	4706	43323
98	4739	43138
99	4758	42822
100	4789	42633
101	4812	42366
102	4837	42130
103	4858	41859
104	4894	41722
105	4912	41432
106	4930	41151
107	4953	40911
108	4967	40606
109	4990	40377
110	5005	40086
111	5023	39832
112	5046	39611
113	5065	39372
114	5086	39144
115	5100	38868
116	5121	38650
117	5131	38359
118	5150	38131
119	5172	37932
120	5191	37715
121	5212	37512
122	5255	37474
123	5286	37347
124	5306	37143
125	5333	36995
126	5351	36786
127	5377	36633
128	5401	36471
129	5424	36302
130	5439	36080
131	5456	35881
132	5483	35745
133	5503	35568
134	5522	35382
135	5540	35196
136	5559	35023
137	5582	34872
138	5629	34872
139	5651	34715
140	5681	34613
141	5730	34626
142	5747	34441
143	5772	34312
144	5818	34308
145	5834	34125
146	5853	33967
147	5878	33841
148	5901	33708
149	5921	33556
150	5937	33381
151	5991	33427
152	6030	33386
153	6050	33239
